,cluster_label,price_per_stay,review_scores_rating,Neighborhood,Property,Room Type
119,1,672.0,98,Midtown,Bed and breakfast,Shared room
120,4,672.0,99,Serra Mesa,House,Private room
121,4,630.0,100,Bay Ho,House,Private room
122,1,616.0,98,Midtown,Bed and breakfast,Shared room
123,1,616.0,98,Midtown,Bed and breakfast,Shared room
124,5,300.0,98,Midtown,Apartment,Entire home/apt
125,5,300.0,98,Mission Valley,Condominium,Private room
126,5,600.0,98,College Area,Apartment,Private room
127,4,560.0,97,North Hills,House,Private room
128,4,550.0,96,Mira Mesa,House,Private room
129,5,545.0,97,Pacific Beach,Apartment,Entire home/apt
130,1,532.0,98,Midtown,Bed and breakfast,Shared room
131,5,530.0,100,Pacific Beach,Condominium,Private room
132,4,525.0,97,Ocean Beach,House,Private room
133,4,520.0,80,Grantville,Apartment,Private room
134,5,510.0,100,La Jolla,House,Private room
135,4,507.0,100,University City,Townhouse,Private room
136,4,500.0,93,Rancho Bernadino,House,Private room
137,5,499.0,100,Mission Bay,House,Private room
138,4,490.0,100,University City,Apartment,Entire home/apt
139,4,490.0,100,Serra Mesa,House,Private room
140,4,490.0,100,Clairemont Mesa,House,Private room
141,5,483.0,97,University City,Condominium,Private room
142,5,480.0,98,Otay Ranch,House,Private room
143,5,475.0,98,Mission Valley,Condominium,Shared room
144,4,455.0,100,Scripps Ranch,Townhouse,Private room
145,5,450.0,97,Little Italy,Apartment,Private room
146,4,450.0,100,La Jolla Village,House,Private room
147,5,420.0,98,North Hills,House,Private room
148,4,420.0,87,Clairemont Mesa,Apartment,Private room
149,4,420.0,98,Bonita Long Canyon,Guest suite,Private room
150,4,420.0,100,Clairemont Mesa,House,Private room
151,4,420.0,93,Rancho Bernadino,House,Private room
152,5,400.0,98,City Heights West,Apartment,Entire home/apt
153,4,400.0,90,Clairemont Mesa,House,Private room
154,4,400.0,100,Clairemont Mesa,Apartment,Private room
155,5,400.0,95,East Village,Apartment,Entire home/apt
156,4,400.0,100,City Heights West,Serviced apartment,Private room
157,5,400.0,94,Alta Vista,House,Private room
158,4,395.0,98,La Jolla,Cottage,Private room
159,4,380.0,100,North Hills,Condominium,Private room
160,5,375.0,99,San Carlos,Townhouse,Private room
161,5,360.0,100,North Clairemont,House,Private room
162,4,360.0,97,South Park,House,Private room
163,3,360.0,100,Torrey Pines,House,Private room
164,5,350.0,98,Paradise Hills,House,Private room
165,5,350.0,97,Clairemont Mesa,House,Private room
166,4,350.0,100,La Jolla Village,Townhouse,Private room
167,4,350.0,95,Clairemont Mesa,Townhouse,Private room
168,5,350.0,90,Loma Portal,Apartment,Private room
169,5,350.0,100,Balboa Park,Apartment,Private room
170,5,350.0,100,Mission Valley,Apartment,Private room
171,4,350.0,97,University City,House,Private room
172,4,350.0,100,Roseville,House,Private room
173,4,340.0,100,North Hills,Loft,Private room
174,5,336.0,98,North Hills,Apartment,Private room
175,4,336.0,100,Clairemont Mesa,House,Private room
176,5,325.0,80,Del Cerro,House,Private room
177,4,325.0,98,Pacific Beach,House,Private room
178,5,320.0,100,Ocean Beach,Apartment,Entire home/apt
179,4,315.0,77,Rancho Penasquitos,House,Private room
180,4,315.0,98,Otay Ranch,House,Private room
181,4,312.0,100,Northwest,House,Private room
182,4,312.0,100,Northwest,House,Private room
183,4,308.0,98,Scripps Ranch,Townhouse,Private room
184,5,300.0,100,Mira Mesa,Townhouse,Private room
185,4,300.0,98,Otay Ranch,Guest suite,Private room
186,4,300.0,95,City Heights East,Camper/RV,Entire home/apt
187,5,300.0,98,North Hills,House,Private room
188,4,288.0,100,Mira Mesa,House,Private room
189,5,285.0,98,Roseville,Camper/RV,Entire home/apt
